Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,1.6705914174104896e-8,1.6699508554518658e-8,1.6717399555411383e-8,2.906242218324598e-11,1.8701576314412374e-11,4.197055599563195e-11
infer/2,3.8438501098687287e-8,3.840307259579143e-8,3.850058414940443e-8,1.5588538697202705e-10,1.029900652340706e-10,2.4831385548202043e-10
infer/3,2.8952839803464374e-7,2.8863361997630824e-7,2.9015906474171e-7,2.6161469408390994e-9,1.8542716037943181e-9,3.6534832974705134e-9
infer/4,6.417467612137443e-8,6.414311653851827e-8,6.430451541425579e-8,1.7460545172546528e-10,5.419478843041534e-11,3.8104982341943635e-10
infer/5,1.229057615627831e-7,1.2275219122459403e-7,1.231251434667841e-7,6.2848114194746e-10,4.66757929755108e-10,9.770779453717159e-10
infer/6,1.4010100698582574e-7,1.4005622187219467e-7,1.4016246292261938e-7,1.8140788620625744e-10,1.2901588114186618e-10,2.4111951602103846e-10
infer/7,8.621329019166993e-7,8.611397768900775e-7,8.632827111885864e-7,3.464502428966809e-9,2.8901762234610727e-9,4.244068780845992e-9
infer/8,5.605590710276642e-7,5.595375792501941e-7,5.617223541950975e-7,3.459366778481415e-9,2.8213174527509363e-9,4.572337433799989e-9
infer/9,4.774572570365216e-7,4.769367377830147e-7,4.780047522326433e-7,1.7229586325111422e-9,1.4517972701231754e-9,2.1079163671769633e-9
infer/10,1.2045403030161473e-6,1.2008584759048693e-6,1.2079060782474661e-6,1.1144562915848279e-8,9.240495957745596e-9,1.3829633877159331e-8
infer/11,1.0011598898892905e-6,9.997806192854834e-7,1.0024430683005778e-6,4.525149284588475e-9,3.947586903722362e-9,5.354443075016192e-9
infer/12,2.1078818330452043e-6,2.0959662023610253e-6,2.1185879986725274e-6,3.944210502016171e-8,3.4208723553600816e-8,4.509919516055957e-8
infer/13,9.694346353057066e-7,9.6917790795403e-7,9.697356538018925e-7,9.715747871056934e-10,7.13120314110264e-10,1.4778975515803537e-9
infer/14,3.3864481615817155e-6,3.381539972800233e-6,3.3907494134754125e-6,1.584189005244077e-8,1.324190772606248e-8,2.0987860781008828e-8
infer/15,4.9922490996575396e-6,4.9838979340135874e-6,4.9990360379422895e-6,2.4405797109361756e-8,1.952556720666551e-8,3.8569820775767456e-8
infer/16,1.9597803465355344e-6,1.956098686833067e-6,1.964633038002762e-6,1.3265293794136455e-8,1.017318964467648e-8,1.6543262454295813e-8
infer/17,2.6513219488418757e-6,2.642860396037957e-6,2.657682724498715e-6,2.55303475534006e-8,1.830897909532203e-8,3.2340486522371253e-8
infer/18,2.212464894070782e-6,2.2040183831549184e-6,2.225446287473404e-6,3.471438470729912e-8,2.6497677317620636e-8,4.478360581045894e-8
