Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,1.5856515893268203e-8,1.5853277092402247e-8,1.586522275503017e-8,1.6699673371617284e-11,7.236665586762646e-12,3.1808062835765814e-11
infer/2,3.5363675204979184e-8,3.535001190978708e-8,3.53823381712426e-8,5.6515025249439654e-11,4.358324571040463e-11,8.674614094694475e-11
infer/3,3.3889368985246743e-7,3.387792012155713e-7,3.3905954629693165e-7,4.4707258220159244e-10,3.4047843699200845e-10,6.641024578454424e-10
infer/4,6.520411883378458e-8,6.515174010719378e-8,6.524154027120704e-8,1.4827054224705092e-10,1.1964716524924506e-10,1.744272798299632e-10
infer/5,1.4024007248305054e-7,1.4022495746056062e-7,1.4025619491873008e-7,5.380719379009479e-11,4.242411889386594e-11,7.208402125214163e-11
infer/6,1.4452194359503803e-7,1.4336800975618924e-7,1.4582400661512487e-7,4.190823125988861e-9,3.496134016956284e-9,5.083053863749002e-9
infer/7,8.677326993305541e-7,8.670775990312734e-7,8.685736112393028e-7,2.475366272493129e-9,1.9944183394590424e-9,2.970257863704278e-9
infer/8,5.133341240270511e-7,5.131842971495596e-7,5.136206886937263e-7,6.813053411023461e-10,4.5521785724244307e-10,9.976479056092547e-10
infer/9,4.966047998010659e-7,4.962174742712677e-7,4.974978558069642e-7,1.8700916495240653e-9,1.1247772655667383e-9,3.3215044197383822e-9
infer/10,1.3818409089876696e-6,1.3805969742757867e-6,1.3833763010352153e-6,4.704945942610716e-9,3.515257595455949e-9,7.004546189314171e-9
infer/11,9.916044736439655e-7,9.892739911441635e-7,9.937793256952584e-7,7.71134846599311e-9,6.5793402920190015e-9,8.939413786364446e-9
infer/12,2.337589120215614e-6,2.332404963718566e-6,2.3428189680125586e-6,1.801460478210744e-8,1.5294861323794396e-8,2.3070603870404996e-8
infer/13,1.1455907205375242e-6,1.1416507710265075e-6,1.1476880266825409e-6,9.507845195600061e-9,6.201731736208393e-9,1.352163740191618e-8
infer/14,3.900144096988622e-6,3.897102739519108e-6,3.902599008963167e-6,9.367822475426536e-9,7.096790786438233e-9,1.3415284402560186e-8
infer/15,5.188661849070445e-6,5.184306415661248e-6,5.1934868363607696e-6,1.5302176905090624e-8,1.2715938140928996e-8,1.9120581038951573e-8
infer/16,2.348401684682836e-6,2.344512202917041e-6,2.3523529776996087e-6,1.2703079309497213e-8,1.0446375449403657e-8,1.6080431604125988e-8
infer/17,3.0584992898755986e-6,3.0522902277267414e-6,3.0647391386014543e-6,2.1433660367585557e-8,1.7194494711492618e-8,2.9307962683971288e-8
infer/18,2.3637621822764126e-6,2.360308151829e-6,2.3664125452910723e-6,1.0358626652406731e-8,8.324890380549129e-9,1.3025828230585323e-8
infer/19,7.03269729451841e-6,7.029597219886321e-6,7.039978622443691e-6,1.557255363162172e-8,7.033302815920407e-9,3.0260009586056644e-8
infer/20,5.306154558704742e-6,5.293391953719811e-6,5.318645963780624e-6,4.3533895897035957e-8,3.653680631663504e-8,5.23869179854518e-8
infer/21,4.6892947110637665e-6,4.685994452344469e-6,4.698197959164689e-6,1.81287738933084e-8,6.617478553275732e-9,3.807699969845157e-8
infer/22,1.2798097087090454e-6,1.2785146450121187e-6,1.2809848936335362e-6,4.030778740356305e-9,3.5744967890980025e-9,4.595724381264357e-9
infer/23,7.5515803193441886e-6,7.547914675629617e-6,7.556762474395837e-6,1.4619065542808156e-8,1.1398403197179225e-8,2.193924727588054e-8
infer/24,5.846820292338105e-6,5.843221505356936e-6,5.849563857652245e-6,1.0107832494864239e-8,7.152287993544024e-9,1.4473537278596426e-8
infer/25,5.079329766664061e-6,5.072879893948351e-6,5.085637063251093e-6,2.2318530505288643e-8,1.897945850555482e-8,2.671162315867722e-8
infer/26,1.4831827124937292e-5,1.4828916820120203e-5,1.4835741874310586e-5,1.1081576711996543e-8,9.275090975100081e-9,1.5319434121691644e-8
infer/27,1.0914748284784483e-5,1.0910167580692398e-5,1.091930847136369e-5,1.5733264687233423e-8,1.3744520736853298e-8,1.824405447493501e-8
infer/28,5.833090920473737e-6,5.828694581637755e-6,5.8375446154669584e-6,1.50651546998932e-8,1.2829890438761681e-8,1.8100535576335046e-8
infer/29,1.6510359437919647e-5,1.6502062355778983e-5,1.6519911838831636e-5,2.9875832645184925e-8,2.4882338775204893e-8,3.613867605280108e-8
